fare_amount,fare_class,passenger_count,Year,Month,Day,Hours,Minutes,mornight,Total distance
8.1,0,1,2010,4,22,4,26,0,2.2602696427581006
9.3,0,2,2010,4,23,16,11,1,2.3869564629340254
7.3,0,1,2010,4,22,8,48,0,1.9164915637925632
19.7,1,1,2010,4,24,15,55,1,9.533836578508861
6.5,0,1,2010,4,21,19,16,1,1.7469419637475976
6.9,0,1,2010,4,23,8,9,0,2.6341651473644183
6.1,0,3,2010,4,18,10,2,0,1.3238445904383347
8.5,0,1,2010,4,18,4,27,0,2.7208126139242585
4.9,0,1,2010,4,19,6,4,0,0.5185235256315819
12.1,1,1,2010,4,21,15,28,1,5.2441113317967085
16.5,1,1,2010,4,22,19,59,1,3.3208247241279842
10.5,1,1,2010,4,15,5,17,0,2.412185899034582
5.3,0,2,2010,4,15,18,17,1,0.594225157320087
8.1,0,1,2010,4,12,1,37,0,3.0504610502873533
8.1,0,2,2010,4,21,18,52,1,0.818269879263375
5.7,0,1,2010,4,17,20,41,1,1.3443365702141437
4.5,0,1,2010,4,15,11,3,0,1.3864924265548837
18.5,1,1,2010,4,11,21,7,1,7.106319281163923
4.1,0,1,2010,4,16,1,37,0,0.7382639463096171
8.1,0,1,2010,4,13,9,56,0,3.113406213435712
8.9,0,1,2010,4,21,15,38,1,2.1900153527574595
5.7,0,1,2010,4,23,4,39,0,1.3072326461434192
6.9,0,1,2010,4,23,10,43,0,0.7780015689437688
4.5,0,2,2010,4,24,20,31,1,1.1534751512215036
6.9,0,1,2010,4,18,12,20,1,1.088018784290498
14.1,1,1,2010,4,20,4,45,0,4.120861028521922
6.1,0,1,2010,4,15,16,34,1,1.9278282561063895
14.1,1,1,2010,4,20,6,17,0,3.953579769275856
46.1,1,1,2010,4,18,17,24,1,24.618680883337188
6.9,0,1,2010,4,12,16,27,1,1.9309305367783107
15.3,1,1,2010,4,17,19,41,1,6.417468407111924
5.3,0,2,2010,4,12,17,21,1,1.789722323461779
5.7,0,4,2010,4,23,19,16,1,1.437098985202953
9.3,0,2,2010,4,15,6,34,0,3.6409120703599367
11.3,1,1,2010,4,15,16,10,1,4.450629550232346
5.7,0,1,2010,4,22,17,31,1,1.3426846799547152
27.47,1,1,2010,4,14,5,43,0,10.145263142324135
3.7,0,2,2010,4,21,22,6,1,0.8662364037804621
3.7,0,1,2010,4,20,2,31,0,0.7234245349968569
9.3,0,1,2010,4,16,13,25,1,3.045186260308337
5.7,0,1,2010,4,14,2,21,0,1.6713367192213744
5.3,0,2,2010,4,23,17,26,1,0.7225577358710991
16.5,1,4,2010,4,21,9,9,0,5.578576544049503
25.3,1,1,2010,4,12,16,8,1,10.883149675553124
10.5,1,2,2010,4,15,16,56,1,0.16548236261456897
4.5,0,1,2010,4,24,15,46,1,1.2175312440518549
14.9,1,1,2010,4,11,4,26,0,7.983756907736151
26.0,1,1,2010,4,21,10,38,0,7.918423252827091
9.3,0,1,2010,4,17,21,59,1,2.5817385794448877
9.3,0,1,2010,4,23,4,20,0,2.4599995175999707
3.7,0,1,2010,4,19,20,51,1,0.8511426864786773
8.1,0,1,2010,4,14,3,4,0,2.4591239433864853
6.9,0,1,2010,4,14,15,42,1,2.2262841395825013
15.7,1,1,2010,4,16,18,41,1,5.964268366636069
2.9,0,1,2010,4,15,5,50,0,0.3207131698831033
49.57,1,1,2010,4,11,15,59,1,20.64602222962127
33.07,1,1,2010,4,12,5,20,0,10.615491409296496
12.9,1,1,2010,4,13,7,35,0,5.838623256862474
12.5,1,1,2010,4,19,3,12,0,4.980235328154009
8.1,0,1,2010,4,14,9,1,0,2.4421310371497156
7.3,0,1,2010,4,21,17,42,1,2.0252451413506947
11.3,1,2,2010,4,23,20,39,1,4.161220648401144
5.3,0,1,2010,4,14,6,51,0,0.7189765527849248
12.5,1,1,2010,4,17,8,31,0,6.266081834638174
32.67,1,2,2010,4,11,15,4,1,10.314305980096417
6.9,0,2,2010,4,14,12,44,1,1.7620529507273741
8.5,0,1,2010,4,21,9,18,0,3.106598367081419
7.3,0,1,2010,4,17,17,42,1,2.266550744706149
6.5,0,1,2010,4,18,5,50,0,2.9165654011631545
21.3,1,1,2010,4,16,9,53,0,7.72977362416521
5.3,0,4,2010,4,24,17,2,1,1.0136823228207057
11.7,1,1,2010,4,17,6,53,0,5.177592052125503
4.9,0,1,2010,4,19,22,19,1,0.7378874490958701
8.1,0,1,2010,4,21,13,37,1,2.615722159719094
8.1,0,1,2010,4,13,18,5,1,2.2631230491844714
18.5,1,2,2010,4,16,19,27,1,5.2574268824565396
4.9,0,1,2010,4,14,10,39,0,1.1173206874937518
4.9,0,1,2010,4,12,15,42,1,1.0434013430586275
18.1,1,1,2010,4,23,21,51,1,5.988156411479676
6.5,0,1,2010,4,14,15,49,1,2.24010109805833
4.9,0,5,2010,4,21,13,44,1,1.1100827323735478
5.3,0,1,2010,4,19,8,30,0,0.7753670807160912
6.5,0,1,2010,4,11,6,41,0,2.5044197976873375
6.5,0,1,2010,4,16,7,3,0,0.8579020645612057
7.7,0,1,2010,4,15,12,40,1,2.136960314841441
10.5,1,1,2010,4,16,7,22,0,2.1190874977513894
14.5,1,1,2010,4,12,7,5,0,4.821658557023322
17.3,1,1,2010,4,14,19,34,1,7.701447414718389
4.9,0,1,2010,4,17,5,31,0,1.718654629518688
6.1,0,1,2010,4,20,13,34,1,1.8141327859387941
14.5,1,1,2010,4,18,17,36,1,1.656103760112886
14.1,1,2,2010,4,15,12,24,1,5.24812231468425
26.27,1,1,2010,4,15,5,3,0,9.651713049025297
23.7,1,2,2010,4,23,23,59,1,7.421115420862562
3.7,0,1,2010,4,17,5,23,0,0.39584260079894956
3.7,0,1,2010,4,17,5,55,0,0.9082750213005871
5.7,0,1,2010,4,18,12,27,1,1.3268225753398315
10.1,1,1,2010,4,17,9,2,0,0.7141058879362285
6.9,0,1,2010,4,18,11,59,0,2.715584298630111
11.3,1,1,2010,4,14,15,32,1,4.715022109052247
49.57,1,1,2010,4,22,2,2,0,19.67381586868095
19.7,1,1,2010,4,23,4,22,0,7.3033048520246275
5.7,0,1,2010,4,15,15,53,1,1.1236914808401652
4.9,0,1,2010,4,13,19,27,1,1.5885958361308476
10.5,1,1,2010,4,16,6,15,0,2.627240101285637
14.9,1,1,2010,4,23,15,32,1,5.033276000080707
10.9,1,2,2010,4,23,14,7,1,2.5925278782627257
7.3,0,1,2010,4,21,10,3,0,1.5070552096814984
7.3,0,1,2010,4,15,7,43,0,1.6657165481861014
7.3,0,1,2010,4,15,7,28,0,2.0286788724023035
8.5,0,1,2010,4,22,17,50,1,3.6284715780042283
8.5,0,2,2010,4,22,8,55,0,1.6592197654167422
8.1,0,2,2010,4,24,10,16,0,2.9835123040335425
6.1,0,2,2010,4,11,9,52,0,1.4579197991781396
10.9,1,1,2010,4,15,18,17,1,3.9182315379010006
7.7,0,5,2010,4,17,20,16,1,2.538146544687049
5.3,0,1,2010,4,12,2,58,0,1.5337006485806755
6.9,0,1,2010,4,22,4,51,0,1.778276518374369
5.3,0,1,2010,4,11,18,49,1,1.1875975471301037
5.3,0,1,2010,4,20,18,33,1,1.5146036039259847
4.5,0,2,2010,4,15,18,3,1,0.9484483574119817
49.57,1,1,2010,4,23,6,9,0,23.37001259259297
16.1,1,1,2010,4,24,16,29,1,4.147794152719757
24.5,1,1,2010,4,11,14,14,1,7.530623141314661
28.5,1,1,2010,4,21,14,17,1,6.326255986583737
4.9,0,1,2010,4,17,9,8,0,0.7127841551052054
4.1,0,1,2010,4,14,7,24,0,0.5042439137528042
8.9,0,2,2010,4,20,17,48,1,3.2673126632939944
4.5,0,3,2010,4,17,14,51,1,0.8851082166684097
10.1,1,2,2010,4,21,11,10,0,3.208762726458673
5.7,0,4,2010,4,17,20,30,1,1.7056124496407494
10.9,1,2,2010,4,22,14,40,1,4.7429484850919
8.9,0,1,2010,4,15,7,57,0,0.6016430496184179
6.9,0,3,2010,4,12,17,17,1,1.9857050441373332
6.9,0,1,2010,4,19,5,0,0,2.0166030633737924
9.3,0,1,2010,4,24,3,3,0,3.506073828434487
14.1,1,1,2010,4,20,17,39,1,4.331809548588769
28.5,1,3,2010,4,15,17,15,1,12.639547031406336
8.5,0,1,2010,4,20,3,11,0,2.683945122056514
4.1,0,1,2010,4,15,15,42,1,1.213607160170894
4.5,0,1,2010,4,12,6,25,0,0.995284088937713
49.57,1,1,2010,4,24,7,0,0,21.33331247256778
6.5,0,1,2010,4,12,1,22,0,1.9712173506641408
4.5,0,1,2010,4,24,6,43,0,0.7754332612727881
22.1,1,1,2010,4,19,20,5,1,11.267995189494762
5.3,0,1,2010,4,13,8,37,0,1.0124942008562046
7.3,0,1,2010,4,23,23,18,1,2.5254886311526077
5.7,0,1,2010,4,12,11,20,0,1.4440077607603925
12.1,1,1,2010,4,13,21,45,1,4.555755980004953
16.1,1,2,2010,4,20,10,41,0,4.861591354974066
8.1,0,1,2010,4,16,5,44,0,1.8556765532415047
4.1,0,1,2010,4,21,21,44,1,0.9187328735572974
6.9,0,2,2010,4,13,9,50,0,1.059294570394932
13.3,1,2,2010,4,16,21,58,1,5.776921046603431
10.1,1,1,2010,4,17,13,51,1,3.5998709756186247
8.9,0,1,2010,4,14,8,13,0,1.498299674028447
5.7,0,1,2010,4,18,9,19,0,0.95874225979725
14.1,1,1,2010,4,23,21,13,1,5.448010840453167
4.9,0,1,2010,4,12,8,33,0,0.9370463091870316
7.7,0,1,2010,4,13,6,17,0,2.286724545976893
12.9,1,1,2010,4,24,20,7,1,4.280885427512865
6.5,0,1,2010,4,17,18,16,1,1.6599553855611597
11.3,1,4,2010,4,17,22,32,1,3.8863803785937097
6.9,0,1,2010,4,20,6,51,0,1.314019452818276
6.9,0,1,2010,4,16,4,22,0,1.3684682368214987
19.3,1,1,2010,4,24,4,26,0,2.0885854833425523
8.1,0,2,2010,4,20,18,54,1,3.0285316518259764
7.3,0,1,2010,4,23,11,8,0,1.6945449225403044
9.3,0,1,2010,4,24,11,25,0,3.7149778453615196
9.7,0,1,2010,4,20,10,59,0,2.8107936790549273
6.1,0,1,2010,4,12,13,48,1,1.595779963316163
6.5,0,2,2010,4,21,5,7,0,1.3980599770043407
6.9,0,2,2010,4,11,9,3,0,1.4134164328351162
8.1,0,1,2010,4,15,5,9,0,1.8513515053884646
14.1,1,2,2010,4,17,23,17,1,3.735997412616984
10.1,1,1,2010,4,14,7,45,0,2.6464004685450573
7.3,0,1,2010,4,20,11,7,0,2.078414905189213
5.3,0,1,2010,4,17,4,5,0,0.8001770852302473
6.5,0,1,2010,4,20,12,48,1,1.546657629317556
7.3,0,1,2010,4,21,14,30,1,2.475101930712114
5.7,0,1,2010,4,16,4,56,0,1.464298048380027
6.1,0,1,2010,4,23,20,55,1,1.4504437149914389
8.9,0,1,2010,4,21,16,49,1,3.1619645642699026
8.5,0,1,2010,4,14,17,4,1,2.720116216627968
8.9,0,1,2010,4,15,4,52,0,2.5392994610375323
10.1,1,1,2010,4,23,17,21,1,3.888506301568377
9.3,0,1,2010,4,13,5,59,0,1.4614292264718807
5.3,0,1,2010,4,20,21,3,1,1.1392654384689938
4.5,0,1,2010,4,15,19,27,1,1.5167597354738807
11.7,1,1,2010,4,22,20,49,1,5.415105109859057
8.9,0,1,2010,4,20,16,38,1,3.454004096238879
13.3,1,1,2010,4,20,9,51,0,3.5238910149664613
23.3,1,1,2010,4,21,10,7,0,11.871758985694093
14.9,1,1,2010,4,12,8,56,0,1.8204348994004893
12.1,1,1,2010,4,13,16,43,1,4.033429789875985
12.1,1,2,2010,4,22,10,46,0,4.362440776203255
5.7,0,1,2010,4,22,23,57,1,0.906285039986613
6.5,0,1,2010,4,18,15,42,1,1.5981590407503274
4.9,0,1,2010,4,17,18,56,1,0.7999822094005229
6.1,0,1,2010,4,14,22,15,1,1.6739678401309348
16.9,1,1,2010,4,13,17,16,1,6.721471056743453
16.9,1,1,2010,4,15,8,18,0,5.017323372785578
15.3,1,2,2010,4,19,14,16,1,5.641669114622035
4.5,0,1,2010,4,11,19,11,1,1.3793196979703122
10.9,1,1,2010,4,24,4,56,0,3.7650517799357814
5.7,0,1,2010,4,20,12,43,1,1.4222729806184478
16.9,1,1,2010,4,14,8,0,0,3.943133224342131
14.5,1,1,2010,4,22,5,47,0,4.844893962863258
10.5,1,1,2010,4,12,13,30,1,4.339316121892748
5.3,0,1,2010,4,22,18,16,1,1.438181940010044
6.5,0,1,2010,4,17,16,29,1,2.702593535298041
16.9,1,2,2010,4,22,6,22,0,5.8086340429229
5.7,0,4,2010,4,24,11,6,0,0.8799800329968246
10.1,1,2,2010,4,17,0,3,0,5.227493749841693
4.5,0,1,2010,4,16,22,57,1,0.9112142556856099
6.9,0,1,2010,4,19,14,20,1,2.565131603721077
21.3,1,5,2010,4,15,2,6,0,4.940762504837797
18.5,1,1,2010,4,24,8,25,0,6.47021628046124
5.7,0,1,2010,4,12,17,0,1,1.8218280658100054
6.1,0,1,2010,4,22,10,11,0,1.754087475696878
7.3,0,1,2010,4,13,3,49,0,2.0633659204920396
15.3,1,1,2010,4,13,16,18,1,5.657299460486233
11.7,1,1,2010,4,14,10,31,0,4.520453068082021
11.3,1,1,2010,4,11,16,16,1,9.314626924791078
7.3,0,1,2010,4,21,11,7,0,1.7558796662056269
11.7,1,1,2010,4,24,18,57,1,3.5313636387641405
5.7,0,3,2010,4,11,15,52,1,1.3390195845838646
7.7,0,1,2010,4,13,13,6,1,1.678124243603889
12.1,1,1,2010,4,22,6,51,0,4.047748265091746
5.7,0,1,2010,4,11,0,37,0,1.5215944503582548
10.5,1,1,2010,4,15,1,8,0,4.691119190614424
3.7,0,1,2010,4,12,7,38,0,0.8411575736816737
9.3,0,1,2010,4,24,17,37,1,4.309066577099497
6.1,0,1,2010,4,21,8,38,0,2.1093231446971226
16.5,1,2,2010,4,24,14,16,1,2.6487998689827044
11.3,1,1,2010,4,13,16,19,1,5.813806517896776
6.1,0,1,2010,4,13,14,8,1,1.4341526618643003
11.3,1,1,2010,4,14,8,27,0,2.6039198787245708
14.5,1,2,2010,4,22,21,7,1,6.5631404486352025
4.9,0,1,2010,4,13,8,58,0,1.1431697177100297
9.7,0,1,2010,4,15,5,34,0,3.170253104396109
5.7,0,1,2010,4,13,12,39,1,1.4710101151282
8.5,0,1,2010,4,20,16,52,1,2.1328396387839192
16.5,1,1,2010,4,21,10,33,0,6.0052847245848655
10.9,1,2,2010,4,23,21,9,1,4.241322536833373
7.3,0,3,2010,4,24,16,2,1,2.4935483235320084
8.1,0,1,2010,4,21,13,39,1,2.1666504441005268
6.9,0,1,2010,4,22,14,30,1,0.6932639458451492
7.7,0,2,2010,4,21,9,53,0,1.6023868527333374
5.3,0,1,2010,4,23,19,42,1,0.6202036798068775
9.3,0,1,2010,4,17,22,1,1,3.607555434165515
9.7,0,1,2010,4,19,21,8,1,3.964319919418633
16.1,1,1,2010,4,21,3,33,0,6.05809445575471
9.7,0,2,2010,4,24,10,4,0,3.593914491136444
6.9,0,1,2010,4,23,15,20,1,1.4330551804739942
5.7,0,4,2010,4,13,9,8,0,1.7404445263948192
45.0,1,1,2010,4,15,16,17,1,10.856037231231337
8.9,0,2,2010,4,12,19,58,1,3.184633110192465
22.9,1,3,2010,4,23,21,24,1,11.21394239105123
8.1,0,1,2010,4,24,17,22,1,2.993975634701925
14.5,1,1,2010,4,20,11,15,0,6.066909220304704
8.5,0,5,2010,4,23,15,4,1,0.9156718204973863
8.1,0,1,2010,4,15,22,22,1,3.9862299680190487
7.3,0,1,2010,4,14,20,58,1,1.5524332048891025
4.5,0,1,2010,4,24,21,58,1,0.5839345556122153
